,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
95,1.732957,-0.884972,1.845189,0.625003,0.773897,0.102249,-0.879328,-0.074183,-0.488383,-0.018252,-0.159792,0.046021
96,1.747643,-0.892408,1.866475,0.617752,0.778585,0.1104,-0.473213,-0.11518,-0.444901,0.13707,-0.110906,0.005048
97,1.669818,-0.839965,1.816442,0.664219,0.74462,0.065988,-0.372399,-0.314253,-0.280073,0.132473,-0.161108,-0.172036
98,1.668462,-0.843037,1.82705,0.662028,0.746667,0.064863,-0.308166,-0.581435,-0.120117,0.116139,-0.194268,-0.20236
99,1.657153,-0.842865,1.83408,0.662847,0.746552,0.057384,-0.178372,-0.981994,0.037264,0.134882,-0.207856,-0.10461
100,1.63249,-0.840201,1.834923,0.666043,0.744777,0.041143,0.065177,-1.467124,0.19982,0.24895,-0.171123,-0.083547
101,1.588541,-0.83389,1.822689,0.671894,0.740551,0.011924,0.691736,-1.883562,0.434398,0.312328,-0.046154,-0.094367
102,1.512851,-0.820085,1.779413,0.681014,0.731204,-0.039506,1.972599,-2.365554,0.777247,0.356278,0.199857,-0.042861
103,1.418395,-0.797883,1.714166,0.690131,0.71588,-0.105999,2.346852,-2.305516,0.889812,0.401895,0.372972,0.256786
104,1.339805,-0.773668,1.669254,0.696353,0.698764,-0.163775,1.404458,-2.419249,0.844919,0.234266,0.384885,0.474947
105,1.273195,-0.754888,1.646249,0.696332,0.685207,-0.213572,0.95319,-2.628799,0.626254,0.178699,0.371922,0.65449
106,1.202689,-0.735311,1.626043,0.691941,0.670818,-0.266873,1.0484,-2.930007,0.743741,0.321441,0.294834,0.611981
107,1.138182,-0.711884,1.617675,0.68738,0.653261,-0.317424,0.489993,-2.853006,1.152076,0.694746,0.178327,0.400386
108,1.105278,-0.682885,1.631917,0.693207,0.631033,-0.348226,0.001743,-1.686203,1.759261,0.820175,0.047968,0.387334
109,1.091153,-0.651293,1.656552,0.705559,0.606215,-0.367002,-0.226383,-1.529266,1.871699,0.394783,0.015047,0.332456
110,1.071199,-0.623041,1.688101,0.712848,0.583507,-0.389059,-0.625223,-2.267977,1.80363,0.060482,0.054448,0.278997
111,1.040809,-0.60146,1.729113,0.711399,0.565847,-0.416808,-1.131428,-2.904111,1.750703,-0.135517,0.124934,0.309112
112,1.006191,-0.588787,1.781141,0.702549,0.555352,-0.444982,-1.702327,-3.316972,1.596625,-0.187213,0.125586,0.432333
113,0.970806,-0.584432,1.837339,0.688356,0.551726,-0.47092,-1.876199,-3.279315,1.388127,-0.228746,0.046892,0.559985
114,0.937327,-0.586712,1.892124,0.671191,0.553626,-0.492951,-1.962898,-3.124576,1.128814,-0.274127,-0.018927,0.553849
115,0.906028,-0.594644,1.943572,0.651959,0.560214,-0.510989,-1.903198,-2.903291,0.884325,-0.283139,-0.092776,0.536257
116,0.878278,-0.606198,1.989202,0.632506,0.569747,-0.524714,-1.802309,-2.535155,0.643139,-0.260146,-0.094649,0.481898
117,0.857102,-0.62154,2.030436,0.614573,0.582288,-0.532204,-1.773564,-2.048636,0.430141,-0.249674,-0.070645,0.493691
118,0.846291,-0.640044,2.069079,0.600612,0.597231,-0.531584,-1.807453,-1.430055,0.27956,-0.248835,-0.026415,0.500624
119,0.848066,-0.661776,2.106973,0.591679,0.614519,-0.521807,-1.887557,-0.891192,0.124486,-0.222523,0.02429,0.398013
120,0.858075,-0.687381,2.144419,0.584772,0.634515,-0.505402,-1.965022,-0.527904,-0.081619,-0.144541,0.05303,0.282319
121,0.875643,-0.715959,2.17934,0.579395,0.656341,-0.483237,-1.923566,-0.087134,-0.320108,-0.053684,0.04538,0.216864
122,0.899696,-0.747679,2.212082,0.574251,0.679938,-0.455982,-1.980115,0.189763,-0.518479,0.041045,0.04667,0.016941
123,0.928464,-0.781327,2.247116,0.568481,0.704222,-0.425323,-2.038452,0.206186,-0.578728,0.219635,0.008195,-0.184967
124,0.954615,-0.813852,2.284163,0.560413,0.726938,-0.396861,-1.964891,-0.222545,-0.51998,0.444745,-0.092004,-0.343007
125,0.967363,-0.83851,2.32108,0.550496,0.743648,-0.379396,-1.494712,-1.047257,-0.081941,0.813823,-0.277141,-0.243223
126,0.958961,-0.841188,2.352217,0.545657,0.745436,-0.382863,-0.629478,-1.822981,0.815993,0.936719,-0.341474,-0.195033
127,0.953822,-0.824166,2.388248,0.553953,0.733981,-0.392947,-0.504003,-1.257104,1.717724,0.868517,-0.380161,-0.058927
128,0.970913,-0.798849,2.435079,0.575744,0.716554,-0.393789,-0.673728,-0.741056,2.017116,0.270814,-0.398896,0.151861
129,0.991398,-0.778053,2.483444,0.596032,0.701894,-0.389989,-0.934668,-0.615831,1.564343,0.235237,-0.154637,0.247167
130,1.020123,-0.78044,2.522425,0.605557,0.703592,-0.371831,-1.495028,0.618537,-0.007166,0.492542,0.200338,0.408727
131,1.059488,-0.795201,2.557982,0.610597,0.714004,-0.342592,-1.168834,0.367091,0.518863,-0.266908,0.504426,0.953478
132,1.068644,-0.775513,2.590339,0.62591,0.700082,-0.343688,-0.223742,-1.15132,1.660794,-0.370112,0.349661,0.482497
133,1.064595,-0.749935,2.618778,0.639968,0.681591,-0.354787,-0.595621,-1.216457,1.489501,-0.453948,0.22356,0.134023
134,1.063434,-0.749954,2.658491,0.639545,0.681605,-0.355523,-1.454071,-1.345231,0.073617,-0.488208,-0.239512,0.481943
135,1.06776,-0.77632,2.676586,0.625111,0.700658,-0.343968,-1.072525,0.17538,-1.170145,-0.538273,-0.215368,0.827488
136,1.090545,-0.807779,2.681721,0.612926,0.722754,-0.319292,-0.846119,1.334988,-1.246962,-0.426937,-0.150855,0.951631
137,1.13551,-0.830043,2.690899,0.611915,0.73796,-0.284562,-0.76494,2.259878,-0.576737,0.466485,0.242646,0.725266
138,1.192218,-0.841492,2.710979,0.619167,0.745638,-0.246283,-0.836332,1.755604,-0.1493,0.677738,0.15965,0.447501
139,1.218076,-0.853964,2.72785,0.616553,0.75389,-0.226962,-0.778759,-0.156966,-0.63142,0.864587,-0.112762,-0.071622
140,1.218093,-0.875091,2.759334,0.601473,0.767602,-0.221399,-1.769491,-1.609156,-0.516839,0.513761,-0.154641,-0.138205
141,1.235109,-0.898181,2.827134,0.588259,0.782195,-0.205239,-2.635986,-1.720789,-0.353969,0.20857,-0.18727,0.322014
142,1.266552,-0.921899,2.901865,0.576554,0.796751,-0.181034,-2.429838,-1.237692,-0.398013,-0.100694,-0.083113,0.628666
143,1.298956,-0.941034,2.971265,0.567326,0.808167,-0.158137,-2.176819,-1.08882,-0.284274,-0.12032,-0.036835,0.514078
144,1.336541,-0.956603,3.035642,0.560559,0.817238,-0.13377,-1.893478,-0.497433,-0.303348,-0.082563,0.005302,0.324597
145,1.377062,-0.970232,3.088811,0.554536,0.825017,-0.108797,-1.462121,-0.01185,-0.365051,-0.006929,-0.000523,0.096957
146,1.411548,-0.982915,3.128814,0.547582,0.832118,-0.087946,-1.083584,0.063994,-0.47894,0.041606,-0.028437,0.013208
147,1.436506,-0.996786,-3.122631,0.538115,0.83973,-0.072701,-0.925317,-0.198186,-0.585389,0.136034,-0.108941,-0.091056
148,1.453074,-1.009788,-3.091882,0.528358,0.846719,-0.062489,-0.876384,-0.61418,-0.493715,0.240105,-0.298486,-0.121914
149,1.461599,-1.019192,-3.064953,0.520933,0.851685,-0.057112,-0.666445,-0.737028,-0.324381,0.360369,-0.425873,-0.074785
150,1.463344,-1.024414,-3.045862,0.516603,0.85441,-0.055725,-0.455963,-0.706609,-0.122124,0.422041,-0.447061,-0.024781
151,1.463307,-1.02436,-3.030981,0.516647,0.854382,-0.055749,-0.358617,-0.616421,0.149769,0.489289,-0.372097,0.061074
152,1.458528,-1.01826,-3.019404,0.521544,0.851196,-0.0588,-0.165697,-0.857887,0.427027,0.405519,-0.34523,-0.004188
153,1.431509,-1.00714,-3.022244,0.529106,0.845307,-0.074178,0.350318,-1.464445,0.616211,0.330101,-0.212418,-0.09846
154,1.375108,-0.988332,-3.046409,0.539585,0.83511,-0.106959,1.171072,-1.994956,0.970865,0.278058,-0.059429,0.004832
155,1.281279,-0.95442,-3.103791,0.554024,0.815978,-0.165037,2.395596,-2.596354,1.386113,0.26667,0.357728,0.174207
156,1.167701,-0.913669,3.124611,0.561886,0.79175,-0.239614,1.762933,-4.102247,1.300302,-0.038128,0.539701,0.098059
157,1.091123,-0.89196,3.130721,0.557028,0.778304,-0.289764,-0.571489,-3.783655,0.908642,-0.113882,0.383684,0.598418
158,1.053598,-0.889637,-3.104505,0.547335,0.776843,-0.31135,-1.401115,-3.704013,0.892063,0.040205,0.426358,0.892786
159,1.002993,-0.861908,-3.08421,0.54884,0.759086,-0.35009,1.471449,-2.873009,2.107471,0.70531,0.079247,0.755532
160,0.953741,-0.796839,-3.079449,0.570071,0.71515,-0.40445,0.787755,-2.746003,2.905782,1.302701,0.118056,-0.577591
161,0.927039,-0.771275,-3.017924,0.573507,0.69705,-0.43036,-1.547635,-3.719295,1.90902,0.87211,-0.013777,0.152803
162,0.89766,-0.765721,-2.963764,0.563637,0.693057,-0.449428,-1.175522,-3.072113,1.181195,0.110634,0.015668,0.517498
163,0.869467,-0.7637,-2.924306,0.551813,0.691598,-0.466041,-1.055912,-2.604847,0.909035,-0.544245,-0.1177,0.344856
164,0.852831,-0.767936,-2.886728,0.541772,0.694652,-0.473224,-1.185814,-1.725138,0.541668,-0.615762,-0.335811,0.371296
165,0.853842,-0.778872,-2.857243,0.536491,0.702477,-0.467657,-1.142715,-0.582862,0.163423,-0.656868,-0.556191,0.389608
166,0.872764,-0.792867,-2.83256,0.537659,0.712368,-0.451059,-1.093518,0.451007,-0.017019,-0.569291,-0.537792,0.327981
167,0.904484,-0.807739,-2.811257,0.543305,0.722726,-0.427184,-1.001155,0.913611,-0.16545,-0.454041,-0.582269,0.321502
168,0.93902,-0.822252,-2.791487,0.549208,0.732681,-0.401932,-1.024883,1.109642,-0.149843,-0.425261,-0.585235,0.333832
169,0.990243,-0.838492,-2.761929,0.559043,0.743636,-0.36671,-1.459751,1.74473,-0.085329,-0.409507,-0.570662,0.314403
170,1.065312,-0.859728,-2.722305,0.571024,0.757665,-0.31603,-1.728036,2.529818,-0.379833,-0.360254,-0.403905,0.173605
171,1.146353,-0.888254,-2.690309,0.574798,0.775972,-0.259759,-1.399561,2.949238,-1.121559,-0.227264,-0.264909,0.066903
172,1.212558,-0.927573,-2.680391,0.561701,0.800167,-0.210297,-0.827726,2.795186,-1.985831,-0.113901,-0.218227,0.046005
173,1.251687,-0.969733,-2.68045,0.536969,0.824735,-0.177415,-0.663554,1.264235,-1.824626,0.383456,0.263476,-0.109999
174,1.263005,-0.999218,-2.665764,0.515537,0.841048,-0.163886,-1.099224,-0.777836,-0.930951,0.59811,0.245622,-0.166329
175,1.286633,-1.018576,-2.607911,0.503542,0.851362,-0.147068,-2.053379,-1.367396,-0.255334,0.878843,-0.11279,-0.421871
176,1.323173,-1.028001,-2.538699,0.500776,0.856268,-0.126602,-1.579198,-0.834928,0.174584,0.564959,-0.516333,-0.248871
177,1.353582,-1.022325,-2.500908,0.509132,0.853322,-0.112364,-0.492399,0.310777,0.696659,0.261376,-0.367711,-0.057116
178,1.375051,-1.005889,-2.491117,0.525114,0.844638,-0.104122,0.117093,0.803246,0.88936,0.28171,0.044232,0.02029
179,1.386153,-0.989191,-2.504833,0.540028,0.835582,-0.100861,0.752386,1.349692,0.61536,0.198436,0.212117,0.389848
180,1.407433,-0.978992,-2.521843,0.550432,0.829935,-0.090729,0.228038,1.922507,0.347112,0.002851,0.460623,0.740967
181,1.449481,-0.970079,-2.503442,0.56108,0.82493,-0.068404,-0.718344,0.809165,0.666668,-0.270782,0.674352,0.811385
182,1.453762,-0.957625,-2.486277,0.571527,0.817827,-0.067195,0.005137,-1.366246,0.60187,0.043997,0.519209,0.292491
183,1.383804,-0.939311,-2.527002,0.580053,0.807152,-0.109747,1.790978,-1.278135,0.728531,0.758082,-0.011665,-0.710535
184,1.356927,-0.922422,-2.558766,0.590133,0.797067,-0.128171,0.73789,0.247238,0.601716,0.457215,-0.438546,-0.291232
185,1.378332,-0.914389,-2.55083,0.599006,0.79219,-0.116732,-0.603598,0.853746,0.341605,-0.115638,-0.42897,0.88048
186,1.407021,-0.909674,-2.531076,0.605787,0.789304,-0.10011,-0.479418,0.668124,0.299981,0.010515,-0.244855,0.655148
187,1.438778,-0.909466,-2.511345,0.608823,0.789176,-0.080846,-0.775479,0.892222,-0.073047,0.474384,-0.073676,-0.127605
188,1.479049,-0.915914,-2.47849,0.606504,0.79312,-0.055802,-1.069786,0.515773,-0.248741,0.446673,-0.128279,-0.251312
189,1.501693,-0.924807,-2.453229,0.600552,0.798504,-0.041567,-0.598271,-0.179587,-0.457132,0.531574,-0.044613,0.111696
190,1.487009,-0.93163,-2.444401,0.594434,0.802593,-0.049923,-0.138617,-1.607626,-0.180763,0.316928,-0.13081,-0.181843
191,1.448776,-0.930847,-2.441589,0.592715,0.802126,-0.072684,-0.075182,-2.127927,0.141882,0.245313,-0.203097,-0.28016
192,1.406672,-0.925152,-2.447472,0.593628,0.798712,-0.098313,0.509882,-1.616176,0.329047,0.075852,-0.294516,-0.024612
193,1.358846,-0.912096,-2.474639,0.598393,0.790788,-0.128763,1.127166,-1.255962,0.555087,-0.0817,-0.254625,-0.255209
194,1.295177,-0.89583,-2.515613,0.601286,0.780728,-0.170054,1.588574,-1.766172,0.407276,-0.094374,-0.201047,-0.243444
195,1.216057,-0.878969,-2.56088,0.598225,0.770082,-0.221588,1.535196,-2.524307,0.368351,-0.166523,-0.343812,0.25441
196,1.129616,-0.859981,-2.595346,0.589978,0.75783,-0.278601,1.328192,-3.315746,0.532425,-0.194623,-0.417666,0.348303
197,1.043286,-0.837972,-2.613268,0.578033,0.743288,-0.336749,0.830013,-3.777295,0.768818,-0.071808,-0.384447,0.332812
198,0.964098,-0.8203,-2.617212,0.560288,0.73135,-0.388849,0.500125,-3.808285,0.5465,0.019606,-0.237972,0.561167
199,0.891647,-0.807543,-2.624168,0.537887,0.722591,-0.434212,0.657696,-2.978904,0.261323,-0.020309,-0.011013,0.557686
200,0.835698,-0.798357,-2.639506,0.517666,0.71621,-0.468043,0.628599,-1.796807,-0.155934,0.040836,0.377082,0.264201
201,0.811826,-0.798985,-2.647629,0.50602,0.716648,-0.479957,-0.101883,-0.317705,-0.180023,0.143577,0.403499,0.227012
202,0.825107,-0.806704,-2.64108,0.508271,0.722011,-0.469427,-0.624589,0.727763,-0.101692,0.224807,0.0658,0.270223
203,0.859862,-0.824014,-2.621358,0.514727,0.733878,-0.443259,-1.397451,1.129731,-0.320182,0.134352,-0.143882,0.074393
204,0.912882,-0.857245,-2.584923,0.517904,0.756043,-0.400219,-2.326363,1.424826,-0.583422,0.006739,-0.118118,-0.196643
